"state","city","population","violent.crime","murder","rape","robbery","assault","property.crime","burglary","larceny","gta","arson"
"134","alabama","Odenville",3642,21,0,3,0,18,63,19,37,7,NA
"135","alabama","Oneonta",6661,21,0,4,0,17,209,21,172,16,NA
"136","alabama","Opelika",28302,165,3,13,37,112,1509,309,1146,54,NA
"137","alabama","Owens Crossroads",1766,1,0,0,0,1,21,3,16,2,NA
"138","alabama","Oxford",21261,62,2,7,8,45,1130,206,874,50,NA
"139","alabama","Ozark",14897,86,0,14,17,55,878,160,686,32,NA
"140","alabama","Pelham",22199,26,0,6,10,10,431,45,362,24,NA
"141","alabama","Pell City",13263,66,1,4,10,51,554,80,443,31,NA
"142","alabama","Phenix City",37266,211,5,23,46,137,2404,702,1432,270,NA
"143","alabama","Piedmont",4777,20,0,3,3,14,217,48,153,16,NA
"144","alabama","Pine Hill",945,6,0,1,1,4,15,6,9,0,NA
"145","alabama","Pleasant Grove",10463,19,1,1,3,14,140,39,89,12,NA
"146","alabama","Powell",955,8,0,0,1,7,28,10,14,4,NA
"147","alabama","Prattville",35154,86,2,24,30,30,1284,248,957,79,NA
"148","alabama","Priceville",2878,6,0,4,0,2,27,10,16,1,NA
"149","alabama","Prichard",22350,469,4,12,134,319,1507,607,687,213,0
"150","alabama","Ragland",1662,5,0,0,1,4,30,13,17,0,NA
"151","alabama","Rainbow City",9683,14,0,1,4,9,266,67,178,21,NA
"152","alabama","Rainsville",4989,15,0,1,0,14,130,19,101,10,NA
"153","alabama","Red Bay",3151,10,0,2,0,8,46,14,31,1,NA
"154","alabama","Reform",1666,6,0,1,0,5,51,13,37,1,NA
"155","alabama","Riverside",2269,8,0,1,0,7,90,20,65,5,NA
"156","alabama","Robertsdale",5629,28,0,4,2,22,244,59,174,11,NA
"157","alabama","Russellville",9844,42,2,9,5,26,345,81,244,20,NA
"158","alabama","Samson",1940,19,1,1,2,15,107,22,81,4,NA
"159","alabama","Saraland",13505,37,0,7,6,24,586,67,487,32,NA
"160","alabama","Sardis City",1755,0,0,0,0,0,41,12,25,4,0
"161","alabama","Satsuma",6125,15,0,2,0,13,118,21,83,14,NA
"162","alabama","Scottsboro",14791,64,0,5,4,55,605,117,464,24,NA
"163","alabama","Selma",20094,245,3,16,42,184,1630,469,1058,103,NA
"164","alabama","Sheffield",9012,80,2,7,10,61,464,119,315,30,NA
"165","alabama","Silverhill",736,0,0,0,0,0,41,7,32,2,NA
"166","alabama","Slocomb",1993,4,0,0,0,4,41,15,25,1,NA
"167","alabama","Snead",845,3,0,1,0,2,55,16,33,6,NA
"168","alabama","Southside",8513,10,0,5,0,5,156,46,101,9,NA
"169","alabama","Springville",4175,5,0,1,1,3,110,23,82,5,NA
"170","alabama","Sulligent",1879,4,0,0,0,4,50,7,43,0,NA
"171","alabama","Sumiton",2461,14,0,2,1,11,152,16,124,12,NA
"172","alabama","Summerdale",938,9,0,2,1,6,76,18,47,11,NA
"173","alabama","Sylacauga",12762,55,2,13,10,30,621,153,444,24,5
"174","alabama","Sylvania",1858,1,0,0,0,1,23,2,19,2,NA
"175","alabama","Talladega",16033,129,0,6,20,103,1304,526,731,47,NA
"176","alabama","Tallassee5",4830,NA,0,NA,1,66,296,86,203,7,NA
"177","alabama","Tarrant",6323,18,1,3,7,7,416,169,234,13,NA
"178","alabama","Taylor",2425,1,0,0,0,1,14,1,12,1,NA
"179","alabama","Thorsby",2008,3,0,0,1,2,11,4,7,0,NA
"180","alabama","Town Creek",1080,7,0,0,0,7,29,12,16,1,NA
"181","alabama","Trinity",2148,5,0,1,0,4,44,10,28,6,NA
"182","alabama","Troy",18329,132,3,15,18,96,907,225,630,52,NA
"183","alabama","Tuscaloosa",94126,434,8,44,161,221,4512,1165,3196,151,NA
"184","alabama","Tuscumbia",8398,47,0,7,4,36,373,73,265,35,NA
"185","alabama","Tuskegee",9341,82,2,7,10,63,552,190,317,45,NA
"186","alabama","Valley",9468,79,2,10,9,58,622,164,408,50,NA
"187","alabama","Valley Head",554,1,0,0,0,1,17,5,10,2,NA
"188","alabama","Vance",1543,4,0,0,1,3,41,15,22,4,NA
"189","alabama","Vestavia Hills",34103,17,0,0,6,11,544,116,404,24,NA
"190","alabama","Warrior",3230,9,0,1,1,7,71,11,50,10,NA
"191","alabama","Weaver",3079,24,1,6,1,16,115,42,66,7,NA
"192","alabama","Wedowee",810,9,0,2,0,7,30,9,18,3,NA
"193","alabama","Wetumpka",7239,40,0,2,8,30,409,57,344,8,NA
"194","alabama","Winfield",4672,23,0,1,1,21,125,26,91,8,NA
"195","alabama","Woodstock",1446,2,0,0,1,1,32,7,23,2,NA
"196","alabama","York",2436,21,0,2,1,18,61,21,36,4,NA
